Component,Department,Name,Title,Email,Street Address 1,Street Address 2,City,State,Zip code,Telephone,Fax
National Nuclear Security Administration,Department of Energy,Christina H. Hamblen,,,"Christina H. Hamblen, FOIA Officer",P.O. Box 5400,Albuquerque,NM,87185-5400,866-747-5994,505-284-7512
National Nuclear Security Administration,Department of Energy,Christina H. Hamblen,,,"Christina H. Hamblen, FOIA Officer",P.O. Box 5400,Albuquerque,NM,87185-5400,866-747-5994,505-284-7512
Naval Reactors Laboratory Field Office,Department of Energy,Clliff Nunn,FOIA Officer,clifford.nunn@nrp.doe.gov,P.O. Box 109,Attn:  C. P. Nunn,West Mifflin,PA,15122-0109,412-476-7202,
Naval Reactors Laboratory Field Office,Department of Energy,Jeffrey Avery,,jeffrey.avery@navy.mil,P.O. Box 109,Attn:  C. P. Nunn,West Mifflin,PA,15122-0109,,
Oak Ridge Office,Department of Energy,,,,"Linda Chapman, FOIA Officer",P.O. Box 2001,Oak Ridge,TN,37831,865-576-1216,865-576-1556
Oak Ridge Office,Department of Energy,DiAnn Fields,,,"Linda Chapman, FOIA Officer",P.O. Box 2001,Oak Ridge,TN,37831,865-576-3612,865-576-1556
Oak Ridge Office,Department of Energy,Linda Chapman,,,"Linda Chapman, FOIA Officer",P.O. Box 2001,Oak Ridge,TN,37831,865-576-2129,865-576-1556
Office of Naval Reactors,Department of Energy,,,,"Clifford Nunn, FOIA Officer",P.O. Box 109,West Mifflin,PA,15122-0109,202-781-6172,412-476-7675
Office of Naval Reactors,Department of Energy,Clifford Nunn,,,"Clifford Nunn, FOIA Officer",P.O. Box 109,West Mifflin,PA,15122-0109,412-476-7202,412-476-7675
Office of Naval Reactors,Department of Energy,Jeffrey Avery,,,"Clifford Nunn, FOIA Officer",P.O. Box 109,West Mifflin,PA,15122-0109,202-781-6236,412-476-7675
Office of Scientific and Technical Information,Department of Energy,,,,"Erin Anderson, FOIA Officer",P.O. Box 62,Oak Ridge,TN,37831,865-576-1261,865-576-3589
Office of Scientific and Technical Information,Department of Energy,Erin Anderson,,,"Erin Anderson, FOIA Officer",P.O. Box 62,Oak Ridge,TN,37831,865-241-5686,865-576-3589
Office of Scientific and Technical Information,Department of Energy,Rebel Powell,,,"Erin Anderson, FOIA Officer",P.O. Box 62,Oak Ridge,TN,37831,865-574-1677,865-576-3589
Richland Operations Office,Department of Energy,,,,"Dorothy Riehle, FOIA Officer, Mail Stop A7-75",P.O. Box 550,Richland,WA,99352,509-376-6288,509-376-9704
Richland Operations Office,Department of Energy,Dorothy Riehle,,,"Dorothy Riehle, FOIA Officer, Mail Stop A7-75",P.O. Box 550,Richland,WA,99352,509-376-6288,509-376-9704
Richland Operations Office,Department of Energy,Richard Buel,,,"Dorothy Riehle, FOIA Officer, Mail Stop A7-75",P.O. Box 550,Richland,WA,99352,509-376-3375,509-376-9704
Savannah River Office,Department of Energy,,,,Savannah River Operations Office,P.O. Box A,Aiken,SC,29801,803-952-8134,803-952-8271
Savannah River Office,Department of Energy,Jennifer Farmer,,,Savannah River Operations Office,P.O. Box A,Aiken,SC,29801,803-952-7813,803-952-8271
Savannah River Office,Department of Energy,Lucy Knowles,,,Savannah River Operations Office,P.O. Box A,Aiken,SC,29801,803-952-7618,803-952-8271
Southeastern Power Administration,Department of Energy,,,,"Leon Jourolmon, FOIA Officer",1166 Athens Tech Road,Elberton,GA,30635-6711,706-213-3810,706-213-3884
Southeastern Power Administration,Department of Energy,Leon Jourolmon,,Leon.Jourolmon@sepa.doe.gov,"Leon Jourolmon, FOIA Officer",1166 Athens Tech Road,Elberton,GA,30635-6711,706-213-3807,706-213-3884
Southeastern Power Administration,Department of Energy,Leon Jourolmon,,Leon.Jourolmon@sepa.doe.gov,"Leon Jourolmon, FOIA Officer",1166 Athens Tech Road,Elberton,GA,30635-6711,706-213-3807,706-213-3884
Southwestern Power Administration,Department of Energy,,,,6655 S Lewis,One West Third,Tulsa,OK,74136,918-595-6605,918-595-6785
Southwestern Power Administration,Department of Energy,John D. Bremer,,,6655 S Lewis,One West Third,Tulsa,OK,74136,720-962-7010,918-595-6785
Southwestern Power Administration,Department of Energy,Rosa Gonzalez-Smith,FOIA Officer,,6655 S Lewis,One West Third,Tulsa,OK,74136,918-595-6605,918-595-6785
Strategic Petroleum Reserve,Department of Energy,,,,"Kristin Frischhertz, FOIA Officer, MS FE-445",900 Commerce Road East,New Orleans,LA,70123,504-734-4297,504-818-5316
Strategic Petroleum Reserve,Department of Energy,Kristin Frischhertz,,,"Kristin Frischhertz, FOIA Officer, MS FE-445",900 Commerce Road East,New Orleans,LA,70123,504-734-4297,504-818-5316
Strategic Petroleum Reserve,Department of Energy,Kristin Frischhertz,,,"Kristin Frischhertz, FOIA Officer, MS FE-445",900 Commerce Road East,New Orleans,LA,70123,504-734-4297,504-818-5316
Western Area Power Administration,Department of Energy,,,,"John Kral, FOIA Officer, P.O. Box 281213",12155 West Alameda Parkway,Lakewood,CO,80228-8213,720-962-7014,720-962-7009
Western Area Power Administration,Department of Energy,Christopher Magee,,cmagee@wapa.gov,"John Kral, FOIA Officer, P.O. Box 281213",12155 West Alameda Parkway,Lakewood,CO,80228-8213,720-962-7139,720-962-7009
Western Area Power Administration,Department of Energy,Mikkiala Grant,FOIA Officer,grant@wapa.gov,"John Kral, FOIA Officer, P.O. Box 281213",12155 West Alameda Parkway,Lakewood,CO,80228-8213,720-962-7139,720-962-7009
Administration for Children and Families,Department of Health and Human Services,,,,"Mary E. Switzer Building, Room 4004","330 C Street, S.W.",Washington,DC,20201,888-747-1861,202-401-4829
Administration for Children and Families,Department of Health and Human Services,Celeste Smith,,,"Mary E. Switzer Building, Room 4004","330 C Street, S.W.",Washington,DC,20201,888-747-1861,202-401-4829
Administration for Children and Families,Department of Health and Human Services,Kenneth Wolfe,,,"Mary E. Switzer Building, Room 4004","330 C Street, S.W.",Washington,DC,20201,202-401-9215,202-401-4829
Administration for Community Living,Department of Health and Human Services,Garfield Daley,FOIA Officer,foia@acl.hhs.gov,"FOIA Requester Service Center, Administration for Community Living","330 C St., SW - Room 1000",Washington,DC,20201,202-690-8055,202-205-0399
Administration for Community Living,Department of Health and Human Services,Jennifer Klocinski,,foia@acl.hhs.gov,"FOIA Requester Service Center, Administration for Community Living","330 C St., SW - Room 1000",Washington,DC,20201,202-795-7377,202-205-0399
Administration for Community Living,Department of Health and Human Services,Jennifer Klocinski,,foia@acl.hhs.gov,"FOIA Requester Service Center, Administration for Community Living","330 C St., SW - Room 1000",Washington,DC,20201,202-795-7377,202-205-0399
Advanced Research Projects Agency for Health ,Department of Health and Human Services,Diana Fisher,,diana.fisher@arpa-h.gov,ARPA-H FOIA Office,1301 K Street NW,Washington,DC,20005,,
Advanced Research Projects Agency for Health ,Department of Health and Human Services,Diana Fisher,,diana.fisher@arpa-h.gov,ARPA-H FOIA Office,1301 K Street NW,Washington,DC,20005,,
Center for Medicare and Medicaid Services,Department of Health and Human Services,,,,"Joseph Tripline, FOIA Officer, Central Building Room C5-11-06 ",7500 Security Boulevard,Baltimore,MD,21244,410-786-5353,410-786-0474
Center for Medicare and Medicaid Services,Department of Health and Human Services,"Desiree Gaynor, FOIA Public Liaison",,desiree.gaynor@cms.hhs.gov,"Joseph Tripline, FOIA Officer, Central Building Room C5-11-06 ",7500 Security Boulevard,Baltimore,MD,21244,410-786-5353,410-786-0474
Center for Medicare and Medicaid Services,Department of Health and Human Services,Joseph Tripline,FOIA Officer ,Joseph.Tripline@cms.hhs.gov,"Joseph Tripline, FOIA Officer, Central Building Room C5-11-06 ",7500 Security Boulevard,Baltimore,MD,21244,410-786-5353,410-786-0474
Centers for Disease Control and Prevention,Department of Health and Human Services,,,,"Roger Andoh, FOIA Officer, MS-D54","1600 Clifton Road, N.E.",Atlanta,GA,30333,770-488-6399,404-235-1852
Centers for Disease Control and Prevention,Department of Health and Human Services,Bruno Viana,,,"Roger Andoh, FOIA Officer, MS-D54","1600 Clifton Road, N.E.",Atlanta,GA,30333,770-488-6246,404-235-1852
Centers for Disease Control and Prevention,Department of Health and Human Services,Roger Andoh,,,"Roger Andoh, FOIA Officer, MS-D54","1600 Clifton Road, N.E.",Atlanta,GA,30333,770-488-6277,404-235-1852
Food and Drug Administration,Department of Health and Human Services,,,,"FDA Division of Freedom of Information, Office of the Executive Secretariat, OC ","5630 Fishers Lane, Room 1035",Rockville,MD,20857,301-796-3900,301-827-9267
Food and Drug Administration,Department of Health and Human Services,Martina Varnado,"FOIA Public Liaison - Director, Office of the Executive Secretariat",,"FDA Division of Freedom of Information, Office of the Executive Secretariat, OC ","5630 Fishers Lane, Room 1035",Rockville,MD,20857,301-796-3900,301-827-9267
Food and Drug Administration,Department of Health and Human Services,Sarah Kotler,FOIA Officer,,"FDA Division of Freedom of Information, Office of the Executive Secretariat, OC ","5630 Fishers Lane, Room 1035",Rockville,MD,20857,301-796-3900,301-827-9267
Health Resources and Services Administration,Department of Health and Human Services,,,,"HRSA FOIA Office, 5600 Fishers Lane, Room 13-W18",,Rockville,MD,20857, 301-443-2865,301-480-5285
Health Resources and Services Administration,Department of Health and Human Services,Brian May, FOIA Officer,,"HRSA FOIA Office, 5600 Fishers Lane, Room 13-W18",,Rockville,MD,20857,301-443-2865,301-480-5285
Health Resources and Services Administration,Department of Health and Human Services,Brian May, HRSA FOIA Public Liaison,foia@hrsa.gov,"HRSA FOIA Office, 5600 Fishers Lane, Room 13-W18",,Rockville,MD,20857, 301-443-2865,301-480-5285
Indian Health Service,Department of Health and Human Services,,,,"Indian Health Service FOIA Office, Division of Regulatory and Policy Coordination (DRPC)","5600 Fishers Lane, Mailstop 09E70",Rockville,MD,20857,240-460-3711,
Indian Health Service,Department of Health and Human Services,Carl G. Mitchell,FOIA Officer,IHSFOIAMailbox@ihs.gov,"Indian Health Service FOIA Office, Division of Regulatory and Policy Coordination (DRPC)","5600 Fishers Lane, Mailstop 09E70",Rockville,MD,20857,301-651-0489,
Indian Health Service,Department of Health and Human Services,Jim Souther,FOIA Public Liaison,IHSFOIAMailbox@ihs.gov,"Indian Health Service FOIA Office, Division of Regulatory and Policy Coordination (DRPC)","5600 Fishers Lane, Mailstop 09E70",Rockville,MD,20857,240-460-3711,
National Institutes of Health,Department of Health and Human Services,,,,"NIH FOIA Office, Building 31, Room 5B35","31 Center Drive, MSC 2107",Bethesda,MD,20892-2107,301-496-5633,301-402-4541
National Institutes of Health,Department of Health and Human Services,Denean Standing-Ojo,,,"NIH FOIA Office, Building 31, Room 5B35","31 Center Drive, MSC 2107",Bethesda,MD,20892-2107,301-496-5633,301-402-4541
National Institutes of Health,Department of Health and Human Services,Gorka Garcia-Malene,"FOIA Officer, National Institutes of Health",nihfoia@od.nih.gov,"NIH FOIA Office, Building 31, Room 5B35","31 Center Drive, MSC 2107",Bethesda,MD,20892-2107,301-496-5633,301-402-4541
Office of the Inspector General,Department of Health and Human Services,,,,"Stefanie Jewett, FOIA Officer, Wilbur J. Cohen Building, Room 5527","330 Independence Avenue, SW",Washington,DC,20201,202-619-2541,202-708-9824
Office of the Inspector General,Department of Health and Human Services,Stefanie Jewett,,,"Stefanie Jewett, FOIA Officer, Wilbur J. Cohen Building, Room 5527","330 Independence Avenue, SW",Washington,DC,20201,202-619-2541,202-708-9824
Office of the Inspector General,Department of Health and Human Services,Stefanie Jewett,,,"Stefanie Jewett, FOIA Officer, Wilbur J. Cohen Building, Room 5527","330 Independence Avenue, SW",Washington,DC,20201,202-619-2541,202-708-9824
Office of the Secretary,Department of Health and Human Services,,,,"FOIA Officer/Director, Freedom of Information and Privacy Acts Division, Hubert H. Humphrey Bldg, Suite 729H","200 Independence Avenue, SW",Washington,DC,20201,202-690-7453,202-690-8320
Office of the Secretary,Department of Health and Human Services,Arianne Perkins,FOIA Officer,,"FOIA Officer/Director, Freedom of Information and Privacy Acts Division, Hubert H. Humphrey Bldg, Suite 729H","200 Independence Avenue, SW",Washington,DC,20201,202-690-7453,202-690-8320
Office of the Secretary,Department of Health and Human Services,Beth Kramer,,,"FOIA Officer/Director, Freedom of Information and Privacy Acts Division, Hubert H. Humphrey Bldg, Suite 729H","200 Independence Avenue, SW",Washington,DC,20201,202-690-7453,202-690-8320
Substance Abuse and Mental Health Services Administration,Department of Health and Human Services,,,,"FOIA Office, 5600 Fishers Lane, 18th Foor",,Rockville,MD,20857,877-726-4727,240-276-2010
Substance Abuse and Mental Health Services Administration,Department of Health and Human Services,Candrea Smith,FOIA Public Liaison,,"FOIA Office, 5600 Fishers Lane, 18th Foor",,Rockville,MD,20857,877-726-4727 ,240-276-2010
Substance Abuse and Mental Health Services Administration,Department of Health and Human Services,Jessie Cole,Public Liaison,,"FOIA Office, 5600 Fishers Lane, 18th Foor",,Rockville,MD,20857,877-726-4727,240-276-2010
Substance Abuse and Mental Health Services Administration,Department of Health and Human Services,Kara Lampasone,,,"FOIA Office, 5600 Fishers Lane, 18th Foor",,Rockville,MD,20857,877-726-4727,240-276-2010
Cybersecurity and Information Security Agency,Department of Homeland Security,Zuleitza Villafuerte,FOIA Public Liason (Acting),foia@hq.dhs.gov,2707 Martin Luther King Jr. AVE SE,,Washington,DC,20528,202-343-1743 or  866-431-0486,703-235-2052
DHS Privacy Office,Department of Homeland Security,Roman Jankowski,Chief FOIA Officer/ Chief Privacy Officer,,"Privacy Office, Mail Stop 0655",2707 Martin Luther King Jr. AVE SE,Washington,DC,20528-0655,,202-343-4011
DHS Privacy Office,Department of Homeland Security,Zuleitza Villafuerte,FOIA Liaison (Acting),DHSFOIAPublicLiaison@hq.dhs.gov,"Privacy Office, Mail Stop 0655",2707 Martin Luther King Jr. AVE SE,Washington,DC,20528-0655,202-343-1743 or  866-431-0486,202-343-4011
Federal Emergency Management Agency,Department of Homeland Security,Daniel Olsen,Acting FOIA Officer,,"Federal Emergency Management Agency, FOIA Officer,","500 C Street, SW, Room 840",Washington,DC,20472,,202-646-3347
Federal Emergency Management Agency,Department of Homeland Security,Daniel Olsen,Acting FOIA Officer,,"Federal Emergency Management Agency, FOIA Officer,","500 C Street, SW, Room 840",Washington,DC,20472,,202-646-3347
Federal Law Enforcement Training Center,Department of Homeland Security,,,,"Federal Law Enforcement Training Center, FOIA Officer","1131 Chapel Crossing Road, Building #681",Glynco,GA,31524,912-267-3103,912-267-3113
Federal Law Enforcement Training Center,Department of Homeland Security,Alicia Mikuta,FOIA Officer,fletc-foia@dhs.gov,"Federal Law Enforcement Training Center, FOIA Officer","1131 Chapel Crossing Road, Building #681",Glynco,GA,31524,912-267-3103,912-267-3113
Federal Law Enforcement Training Center,Department of Homeland Security,Alicia Mikuta,FOIA Officer,fletc-foia@dhs.gov,"Federal Law Enforcement Training Center, FOIA Officer","1131 Chapel Crossing Road, Building #681",Glynco,GA,31524,912-267-3103,912-267-3113
Federal Protective Service ,Department of Homeland Security,Paula Tavares,,,"DHS Privacy Office, Mail Stop 0655",2707 Martin Luther King Jr. AVE SE,Washington,DC,20528,,202-343-4011
Office for Civil Rights and Civil Liberties,Department of Homeland Security,,,,"Mail Stop 0190, 2707 Martin Luther King Jr. AVE SE",,Washington,DC,20528-0655,202-343-1743,
Office for Civil Rights and Civil Liberties,Department of Homeland Security,Rosemary Law,FOIA Officer,crclfoia@hq.dhs.gov,"Mail Stop 0190, 2707 Martin Luther King Jr. AVE SE",,Washington,DC,20528-0655,,
Office for Civil Rights and Civil Liberties,Department of Homeland Security,Rosemary Law,FOIA Officer,crclfoia@hq.dhs.gov,"Mail Stop 0190, 2707 Martin Luther King Jr. AVE SE",,Washington,DC,20528-0655,,
Office of Biometric Identity Management,Department of Homeland Security,,,,"Privacy Office, Mail Stop 0655",2707 Martin Luther King Jr. AVE SE,Washington,DC,20598-0628,202-343-1743 or 866-431-0486,202-343-4011
Office of Intelligence & Analysis,Department of Homeland Security,,,,"Privacy Office, Mail Stop 0655 ",2707 Martin Luther King Jr. AVE SE,Washington,DC,20528,202-447-4561,202-612-1936
Office of Intelligence & Analysis,Department of Homeland Security,,,,"Privacy Office, Mail Stop 0655 ",2707 Martin Luther King Jr. AVE SE,Washington,DC,20528,,202-612-1936
Office of Intelligence & Analysis,Department of Homeland Security,Kimberly Holder,,iafoia@hq.dhs.gov,"Privacy Office, Mail Stop 0655 ",2707 Martin Luther King Jr. AVE SE,Washington,DC,20528,,202-612-1936
Office of the Inspector General,Department of Homeland Security,,FOIA Officer,FOIA.OIG@oig.dhs.gov,"Office of the Inspector General, FOIA Public Liaison, DHS-OIG Counsel","245 Murray Lane, SW, Stop 0305",Washington,DC,20528-0305,202-254-4001,202-245-5217
Office of the Inspector General,Department of Homeland Security,,,foia.oig@oig.dhs.gov,"Office of the Inspector General, FOIA Public Liaison, DHS-OIG Counsel","245 Murray Lane, SW, Stop 0305",Washington,DC,20528-0305,202-981-6100,202-245-5217
Office of the Inspector General,Department of Homeland Security,,,,"Office of the Inspector General, FOIA Public Liaison, DHS-OIG Counsel","245 Murray Lane, SW, Stop 0305",Washington,DC,20528-0305,202-254-4001,202-245-5217
Transportation Security Administration,Department of Homeland Security,,,foia@tsa.dhs.gov,TSA FOIA ,"6595 Springfield Center Drive Springfield, VA 22150",Arlington,VA,22202,"866-364-2872, 571-227-2300",571-227-1406
Transportation Security Administration,Department of Homeland Security,Karry Callahan,FOIA Officer,foia@tsa.dhs.gov,TSA FOIA ,"6595 Springfield Center Drive Springfield, VA 22150",Arlington,VA,22202,"866-364-2872, 571-227-2300",571-227-1406
Transportation Security Administration,Department of Homeland Security,Kerry Callahan,,foia@tsa.dhs.gov,TSA FOIA ,"6595 Springfield Center Drive Springfield, VA 22150",Arlington,VA,22202,"866-364-2872, 571-227-2300",571-227-1406
U.S. Citizenship & Immigration Services,Department of Homeland Security,,,,"U.S. Citizenship & Immigration Services, National Records Center, FOIA/PA Office",P.O. Box 648010,Lee's Summit,MO,64064-8010,,
U.S. Citizenship & Immigration Services,Department of Homeland Security,James Baxley,,,"U.S. Citizenship & Immigration Services, National Records Center, FOIA/PA Office",P.O. Box 648010,Lee's Summit,MO,64064-8010,,
U.S. Citizenship & Immigration Services,Department of Homeland Security,Linda Davis	,FOIA Public Liason,foiapaquestions@uscis.dhs.gov,"U.S. Citizenship & Immigration Services, National Records Center, FOIA/PA Office",P.O. Box 648010,Lee's Summit,MO,64064-8010,,
U.S. Coast Guard,Department of Homeland Security,Amanda Ackerson,FOIA Public Liason,efoia@uscg.mil,"United States Coast Guard, ATTN: FOIA Coordinator","Commandant (CG-611), 2703 Martin Luther King Jr Ave, SE, Stop 7710",Washington,DC,20593-7710,571-607-4337, 202-372-8413
U.S. Coast Guard,Department of Homeland Security,Amanda Ackerson,,efoia@uscg.mil,"United States Coast Guard, ATTN: FOIA Coordinator","Commandant (CG-611), 2703 Martin Luther King Jr Ave, SE, Stop 7710",Washington,DC,20593-7710,202-475-3522, 202-372-8413
U.S. Coast Guard,Department of Homeland Security,Kate Claffie,Chief FOIA & Privacy Officer,EFOIA@uscg.mil,"United States Coast Guard, ATTN: FOIA Coordinator","Commandant (CG-611), 2703 Martin Luther King Jr Ave, SE, Stop 7710",Washington,DC,20593-7710,571-607-4337, 202-372-8413
U.S. Customs & Border Protection,Department of Homeland Security,,,,"Freedom of Information Act Office, U.S. Customs and Border Protection","1300 Pennsylvania Avenue NW, Mail Stop 1181",Washington,DC,20229-1181,202-325-0150,
U.S. Customs & Border Protection,Department of Homeland Security,Charlyse Hoskins  ,FOIA Public Liason,cbpfoiapublicliaison@cbp.dhs.gov,"Freedom of Information Act Office, U.S. Customs and Border Protection","1300 Pennsylvania Avenue NW, Mail Stop 1181",Washington,DC,20229-1181,202-325-0150,
U.S. Customs & Border Protection,Department of Homeland Security,Sabrina Burroughs   ,FOIA Officer,,"Freedom of Information Act Office, U.S. Customs and Border Protection","1300 Pennsylvania Avenue NW, Mail Stop 1181",Washington,DC,20229-1181,202-325-0150,
U.S. Immigration & Customs Enforcement,Department of Homeland Security,Daniel Edgington,FOIA Public Liason,ice-foia@dhs.gov,"United States Immigration & Customs Enforcement, FOIA Office","500 12th Street, SW, Stop 5009",Washington,DC,20536-5009,866-633-1182,202-732-4265
U.S. Immigration & Customs Enforcement,Department of Homeland Security,Fernando Pineiro,FOIA Officer,ice-foia@dhs.gov,"United States Immigration & Customs Enforcement, FOIA Office","500 12th Street, SW, Stop 5009",Washington,DC,20536-5009,866-633-1182,202-732-4265
United States Secret Service,Department of Homeland Security,Kevin Tyrell,FOIA Officer,foia@usss.dhs.gov,Communications Center (FOIA/PA),"245 Murray Drive, Building T-5",Washington,DC,20223,202-220-1819,202-406-5586
United States Secret Service,Department of Homeland Security,Kevin Tyrrell,FOIA Officer,FOIA@usss.dhs.gov,Communications Center (FOIA/PA),"245 Murray Drive, Building T-5",Washington,DC,20223,202-406-6370,202-406-5586
Headquarters,Department of Housing and Urban Development,Sandra J. Wright,"Chief, FOIA Office",sandra.j.wright@hud.gov,"Chief, Room 10139","451 7th Street, SW",Washington,DC,20410-3000,202-402-5510,202-619-8365
Office of the Inspector General,Department of Housing and Urban Development,Douglas Newman,Government Information Specialist,FOIARequests@hudoig.gov,HUD OIG FOIA Office,"451 Seventh St., SW, Room 8186",Washington,DC,20410-4500,202-708-1613,
Office of the Inspector General,Department of Housing and Urban Development,Florence Goal,OIG FOIA Public Liaison,FOIARequests@hudoig.gov,HUD OIG FOIA Office,"451 Seventh St., SW, Room 8186",Washington,DC,20410-4500,202-708-1613,
"Region I (Boston, Hartford, Manchester, Providence)",Department of Housing and Urban Development,,,,10 Causeway Street,,Boston,MA,02222,617-994-8218,860-240-4850
"Region I (Boston, Hartford, Manchester, Providence)",Department of Housing and Urban Development,Carmen Rodriguez,Regional FOIA Liaison - Region I (Connecticut),Carmen.I.Rodriguez@hud.gov,10 Causeway Street,,Boston,MA,02222,860-240-9700,860-240-4850
"Region I (Boston, Hartford, Manchester, Providence)",Department of Housing and Urban Development,Erika Koizumi,"Regional FOIA Liaison - Region I  (Massachusetts, Rhode Island, ME, New Hampshire, Vermont)",Erika.Koizumi@hud.gov,10 Causeway Street,,Boston,MA,02222,(617) 994-8206,860-240-4850
"Region I (Boston, Hartford, Manchester, Providence)",Department of Housing and Urban Development,Robert Forti ,FOIA Public Liaison,Robert.D.Forti@hud.gov,10 Causeway Street,,Boston,MA,02222,(617) 994-8213,860-240-4850
"Region II (New York, Albany, Buffalo, Newark)",Department of Housing and Urban Development,Adam Glantz,Regional FOIA Liaison,Adam.Glantz@hud.gov,26 Federal Plaza,,New York,NY,10278-0068,(212) 542-7158,212-264-0246
"Region II (New York, Albany, Buffalo, Newark)",Department of Housing and Urban Development,Stephen E. Murphy,FOIA Public Liaison,Stephen.E.Murphy@hud.gov,26 Federal Plaza,,New York,NY,10278-0068,(212) 542-7109,212-264-0246
"Region III (Philadelphia, Baltimore, Pittsburgh, Richmond, Washington, D.C., Charleston, Wilmington)",Department of Housing and Urban Development,,,,"Jane E. Miller, FOIA Public Liaison, The Wanamaker Building",100 Penn Square East,Philadelphia,PA,19107,215-656-0600,215-656-3445
"Region III (Philadelphia, Baltimore, Pittsburgh, Richmond, Washington, D.C., Charleston, Wilmington)",Department of Housing and Urban Development,Brandon R. Porinchak,Regional FOIA Liaison,Brandon.R.Porinchak@hud.gov,"Jane E. Miller, FOIA Public Liaison, The Wanamaker Building",100 Penn Square East,Philadelphia,PA,19107,(215) 430-6624,215-656-3445
"Region III (Philadelphia, Baltimore, Pittsburgh, Richmond, Washington, D.C., Charleston, Wilmington)",Department of Housing and Urban Development,Jane E. Miller,FOIA Public Liaison,Jane.E.Miller@hud.gov,"Jane E. Miller, FOIA Public Liaison, The Wanamaker Building",100 Penn Square East,Philadelphia,PA,19107,(215) 430-6621,215-656-3445
"Region IV (Atlanta, Birmingham, Caribbean, Columbia, Greensboro, Jackson, Jacksonville, Knoxville, Louisville, Nashville, Memphis, Miami, Orlando, Tampa)",Department of Housing and Urban Development,,,,"Kenneth Free, Acting DRA",40  Marietta Street,Atlanta,GA,30303,404-331-5001 x2380,404-730-2392
"Region IV (Atlanta, Birmingham, Caribbean, Columbia, Greensboro, Jackson, Jacksonville, Knoxville, Louisville, Nashville, Memphis, Miami, Orlando, Tampa)",Department of Housing and Urban Development,Joy Beslow,Regional FOIA Liaison,Joy.A.Beslow@hud.gov,"Kenneth Free, Acting DRA",40  Marietta Street,Atlanta,GA,30303,(678) 732-2010,404-730-2392
"Region IV (Atlanta, Birmingham, Caribbean, Columbia, Greensboro, Jackson, Jacksonville, Knoxville, Louisville, Nashville, Memphis, Miami, Orlando, Tampa)",Department of Housing and Urban Development,Nikel Bailey,Supervisor,Nikel.A.Bailey@hud.gov,"Kenneth Free, Acting DRA",40  Marietta Street,Atlanta,GA,30303,678-732-2234,404-730-2392
"Region IX (San Francisco, Honolulu, Los Angeles, Phoenix, Sacramento)",Department of Housing and Urban Development,,,,San Francisco Regional Office,"One Sansome Street, Suite 1200",San Francisco,CA,94104,916-498-7381,
"Region IX (San Francisco, Honolulu, Los Angeles, Phoenix, Sacramento)",Department of Housing and Urban Development,David W. Lockwood,"Regional FOIA Liaison (Northern California, AZ, HI and NV)",David.W.Lockwood@hud.gov,San Francisco Regional Office,"One Sansome Street, Suite 1200",San Francisco,CA,94104,(714) 955-0902,
"Region IX (San Francisco, Honolulu, Los Angeles, Phoenix, Sacramento)",Department of Housing and Urban Development,Robert A. Jamieson,Regional FOIA Liaison (Southern California),Robert.A.Jamieson@hud.gov,San Francisco Regional Office,"One Sansome Street, Suite 1200",San Francisco,CA,94104,(415) 489-3480,
"Region IX (San Francisco, Honolulu, Los Angeles, Phoenix, Sacramento)",Department of Housing and Urban Development,Wayne E. Sauseda,FOIA Public Liaison,Wayne.E.Sauseda@hud.gov,San Francisco Regional Office,"One Sansome Street, Suite 1200",San Francisco,CA,94104,415-489-6413,
"Region V (Chicago, Columbus, Cleveland, Detroit, Indianapolis, Milwaukee, Minneapolis-St. Paul)",Department of Housing and Urban Development,,,,"James A. Cunningham, FOIA Public Liaison, Suite 2608",77 W. Jackson Boulevard,Chicago,IL,60604,312-353-5680 x2139,312-913-8293
"Region V (Chicago, Columbus, Cleveland, Detroit, Indianapolis, Milwaukee, Minneapolis-St. Paul)",Department of Housing and Urban Development,Catherine S. Peterson,Regional FOIA Liaison,Catherine.S.Peterson@hud.gov,"James A. Cunningham, FOIA Public Liaison, Suite 2608",77 W. Jackson Boulevard,Chicago,IL,60604,(312) 913-8662,312-913-8293
"Region V (Chicago, Columbus, Cleveland, Detroit, Indianapolis, Milwaukee, Minneapolis-St. Paul)",Department of Housing and Urban Development,James A. Cunningham,FOIA Public Liaison,James.A.Cunningham@hud.gov,"James A. Cunningham, FOIA Public Liaison, Suite 2608",77 W. Jackson Boulevard,Chicago,IL,60604,312-353-5680 ,312-913-8293
"Region VI (Texas, Arkansas, Louisiana, New Mexico and Oklahoma)",Department of Housing and Urban Development,Gail Prater,FOIA Liaison,gail.prater@hud.gov,"FOIA Public Liaison, Suite 2500 Unit #45",801 Cherry Street,Ft. Worth,TX,76102,(817) 978-5985,817-978-5669
"Region VI (Texas, Arkansas, Louisiana, New Mexico and Oklahoma)",Department of Housing and Urban Development,Gail Prater,FOIA Liaison,gail.prater@hud.gov,"FOIA Public Liaison, Suite 2500 Unit #45",801 Cherry Street,Ft. Worth,TX,76102,(817) 978-5985,817-978-5669
"Region VI (Texas, Arkansas, Louisiana, New Mexico and Oklahoma)",Department of Housing and Urban Development,Gail Prater,FOIA Liaison,Gail.Prater@hud.gov,"FOIA Public Liaison, Suite 2500 Unit #45",801 Cherry Street,Ft. Worth,TX,76102,817-978-5974 x1010,817-978-5669
